data_dir,sequence_file,label_file,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,batch_size,epochs,learning_rate,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.3269694745540619,0.9850605130195618,0.934149444103241,0.4788469970226288,0.9075757265090942,0.7884615659713745,0.3302209675312042,0.9840712547302246,0.9310202598571777
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,512,20,0.001,0.6169412136077881,0.9304028153419495,0.8535246849060059,0.6606125235557556,0.8575757741928101,0.7692307829856873,0.6178778409957886,0.92906653881073,0.8517141938209534
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,10,0.001,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.6980281472206116,0.17316147685050964,0.4968340992927551,0.6961427330970764,0.16780304908752441,0.5769230723381042,0.6979876756668091,0.17326565086841583,0.4985543191432953
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,10,0.001,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,512,20,0.001,0.7003211379051208,0.7137840390205383,0.4968340992927551,0.6973196864128113,0.7356060743331909,0.5769230723381042,0.7002566456794739,0.7141313552856445,0.4985543191432953
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,1000,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.6980375647544861,0.5420780777931213,0.5225833654403687,0.696190595626831,0.4750000238418579,0.5769230723381042,0.698005735874176,0.5401728749275208,0.5237505435943604
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,1000,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,512,20,0.001,0.7021148204803467,0.5460807085037231,0.5373575091362,0.690534770488739,0.4954545497894287,0.5384615659713745,0.7021291851997375,0.54412841796875,0.5373812317848206
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,1000,0.001,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.6980215311050415,0.482187420129776,0.4968340992927551,0.6963111758232117,0.4518939256668091,0.5769230723381042,0.6979818344116211,0.48155608773231506,0.4985543191432953
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,1000,0.001,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,512,20,0.001,0.7003018856048584,0.5153422951698303,0.4968340992927551,0.6971479058265686,0.45530301332473755,0.5769230723381042,0.7002371549606323,0.5145264267921448,0.4985543191432953
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.3346458673477173,0.971748948097229,0.8978471755981445,0.5008051991462708,0.8803030252456665,0.807692289352417,0.3382037580013275,0.970401406288147,0.8959107995033264
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.6945450305938721,0.5006530284881592,0.5031659007072449,0.6953164935112,0.4886363744735718,0.42307692766189575,0.6945616006851196,0.5004367232322693,0.5014457106590271
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.3399050831794739,0.9731091856956482,0.9113550186157227,0.45370087027549744,0.9166666269302368,0.807692289352417,0.34234365820884705,0.9720837473869324,0.9091284871101379
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.3587031662464142,0.9587494134902954,0.8961586952209473,0.4829394817352295,0.8787878751754761,0.8269230723381042,0.36138680577278137,0.957069993019104,0.894671618938446
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.31333544850349426,0.9787567853927612,0.9273955225944519,0.4218657612800598,0.9272726774215698,0.8461538553237915,0.31565749645233154,0.9779245853424072,0.9256505370140076
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.4511808454990387,0.9369533658027649,0.8771633505821228,0.4823249280452728,0.9083333015441895,0.7884615659713745,0.45183441042900085,0.9364742040634155,0.8752581477165222
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.3183076083660126,0.9799066781997681,0.9265512824058533,0.4640742838382721,0.903030276298523,0.8653846383094788,0.3214068114757538,0.9784637689590454,0.9252374768257141
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.6927863955497742,0.7691302299499512,0.5331363677978516,0.6929563879966736,0.9060605764389038,0.4423076808452606,0.6927900910377502,0.7727294564247131,0.5311854481697083
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.28126832842826843,0.994998037815094,0.9497678279876709,0.5328855514526367,0.8999999761581421,0.8269230723381042,0.28664112091064453,0.9938026070594788,0.9471293091773987
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.6958454251289368,0.49933817982673645,0.4968340992927551,0.695326566696167,0.5,0.5769230723381042,0.6958342790603638,0.49936094880104065,0.4985543191432953
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.32878121733665466,0.9849628210067749,0.9316167235374451,0.48044416308403015,0.9075757265090942,0.7692307829856873,0.33203282952308655,0.9838511347770691,0.9281288981437683
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,12,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.697319507598877,0.5205990076065063,0.4968340992927551,0.6966577172279358,0.5583332777023315,0.5769230723381042,0.6973052620887756,0.5213768482208252,0.4985543191432953
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.30209532380104065,0.988800048828125,0.9379485249519348,0.5613909959793091,0.8484848737716675,0.7692307829856873,0.307660847902298,0.9867064952850342,0.9343246817588806
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.6946570873260498,0.5,0.5031659007072449,0.6949931979179382,0.5,0.42307692766189575,0.6946642994880676,0.5,0.5014457106590271
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.3117496073246002,0.9796299934387207,0.9273955225944519,0.43633973598480225,0.924242377281189,0.807692289352417,0.314421147108078,0.9789097309112549,0.9248244762420654
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.6953609585762024,0.4829762279987335,0.5031659007072449,0.6957989931106567,0.5295454263687134,0.42307692766189575,0.6953703761100769,0.483756422996521,0.5014457106590271
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.22685502469539642,0.9967263340950012,0.9780498147010803,0.4391317665576935,0.913636326789856,0.8653846383094788,0.23139068484306335,0.9958664774894714,0.9756299257278442
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 16]",0.001,0,64,20,0.001,0.1846245974302292,0.9958775639533997,0.9831152558326721,0.4651750326156616,0.8878787755966187,0.8653846383094788,0.190638467669487,0.9947069883346558,0.9805865287780762
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 8]",0.001,0,64,20,0.001,0.2676556408405304,0.9961509704589844,0.9244406819343567,0.5074272155761719,0.9060605764389038,0.7692307829856873,0.27280154824256897,0.9952858090400696,0.9211069941520691
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 8]",0.002,0,64,20,0.001,0.7018556594848633,0.48681017756462097,0.5031659007072449,0.70293128490448,0.612500011920929,0.42307692766189575,0.7018787860870361,0.48926690220832825,0.5014457106590271
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,14,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]","[64, 8]",0.0012,0,64,20,0.001,0.6986840963363647,0.5079421401023865,0.5031659007072449,0.6996477842330933,0.39848488569259644,0.42307692766189575,0.6987048387527466,0.5051387548446655,0.5014457106590271
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,10,0.001,0.5612019300460815,0.8987047076225281,0.8201773166656494,0.5937258005142212,0.8712121248245239,0.7692307829856873,0.5618990659713745,0.8980321288108826,0.819083034992218
dataset1,SRR3101734_seq.fa,SRR3101734_out.dat,custom,10,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,30,0.001,0.221200630068779,0.9966253042221069,0.977627694606781,0.43903660774230957,0.9242424964904785,0.8269230723381042,0.2258249819278717,0.9958163499832153,0.9743907451629639
