device,version,seed,distribution,batch_size,learning_rate,alpha,beta,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,epochs,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-colab,226,0,"[0.3, 0.2, 0.2, 0.3]",32,0.001,10,0.1,custom,12,128,max,[32],0,0.001,,5,valAccuracy,0.7756654024124146,0.06850805878639221,0.999840497970581,0.9985755085945129,0.5395270586013794,0.8583768606185913,0.7452471256256104,0.12079630047082901,0.9873861074447632,0.9704516530036926
redwan-colab,227,0,"[0.3, 0.2, 0.2, 0.3]",32,0.001,10,0.1,custom,12,128,max,[32],0,0.005,,18,valAccuracy,0.7718631029129028,0.05769258365035057,1.0,0.9995251893997192,0.5868405103683472,0.8379709720611572,0.7490494251251221,0.11643420904874802,0.9856976270675659,0.9717180132865906
redwan-colab,228,0,"[0.3, 0.2, 0.2, 0.3]",32,0.001,10,0.1,custom,12,128,max,[32],0,0.01,,24,valAccuracy,0.7528517246246338,0.14191016554832458,0.9990836977958679,0.9852801561355591,0.540550172328949,0.8337391018867493,0.73384028673172,0.18616610765457153,0.9839137196540833,0.9573659896850586
redwan-colab,229,0,"[0.3, 0.2, 0.2, 0.3]",128,0.001,10,0.1,custom,12,128,max,[32],0,0.001,,18,valAccuracy,0.7794677019119263,0.0873187780380249,0.9998664259910583,0.9966761469841003,0.5416112542152405,0.8486377000808716,0.7642585635185242,0.13778069615364075,0.9863089323043823,0.9708737730979919
redwan-colab,230,0,"[0.3, 0.2, 0.2, 0.3]",128,0.001,10,0.1,custom,12,128,max,[32],0,0.005,,33,valAccuracy,0.7794677019119263,0.09296612441539764,0.9998887181282043,0.9962013363838196,0.5225439667701721,0.8491594195365906,0.7642585635185242,0.14065669476985931,0.9864903092384338,0.9704516530036926
redwan-colab,231,0,"[0.3, 0.2, 0.2, 0.3]",128,0.001,10,0.1,custom,12,128,max,[32],0,0.01,,32,valAccuracy,0.7452471256256104,0.23106731474399567,0.9882543683052063,0.9292497634887695,0.5412841439247131,0.8322898745536804,0.7224334478378296,0.2655067443847656,0.9731419682502747,0.9062895774841309
redwan-colab,232,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0,0.001,,20,valAccuracy,0.7946767807006836,0.013991552405059338,1.0,1.0,0.7035002708435059,0.8428405523300171,0.7642585635185242,0.09054219722747803,0.9877700805664062,0.9738286137580872
redwan-colab,233,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0,0,0.5,11,valAccuracy,0.7642585635185242,0.141910582780838,0.9951960444450378,0.9753086566925049,0.5415993332862854,0.8438260555267334,0.7414448857307434,0.18630863726139069,0.981657087802887,0.9493457078933716
redwan-colab,234,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0,0.001,,16,valAccuracy,0.7984790802001953,0.029380235821008682,1.0,1.0,0.6588414311408997,0.8424927592277527,0.7870722413063049,0.09926625341176987,0.9868265986442566,0.9763613343238831
