device,version,seed,distribution,batch_size,alpha,beta,learning_rate,epochs,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy
redwan-colab,277,63,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-20,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8441064357757568,0.3416658043861389,0.9921254515647888,0.8774929046630859,0.5533822774887085,0.9169480204582214,0.7680608630180359
redwan-colab,278,63,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-20,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8326995968818665,0.23000717163085938,0.9937785863876343,0.962013304233551,0.44722843170166016,0.9197916984558105,0.8326995968818665
redwan-colab,279,47,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,22,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8517110347747803,0.13971075415611267,1.0,1.0,0.4858497977256775,0.9241319298744202,0.8479087352752686
redwan-colab,280,59,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,3,custom,12,4,max,[32],0.001,0,,valAccuracy,0.5931559205055237,0.6425080299377441,0.7235325574874878,0.6604938507080078,0.6718652248382568,0.6369212865829468,0.589353621006012
redwan-colab,281,67,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,4,max,[32],0.001,0,,valAccuracy,-inf,0.4713660180568695,0.8755033612251282,0.7872744798660278,0.58130943775177,0.7944444417953491,0.7034220695495605
redwan-colab,282,71,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,16,max,[32],0.001,0,,valAccuracy,-inf,0.2958223223686218,0.9683486223220825,0.912630558013916,0.5041530728340149,0.8829861283302307,0.7984790802001953
redwan-colab,283,70,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,32,max,[32],0.001,0,,valAccuracy,-inf,0.1720830649137497,0.9982133507728577,0.9734092950820923,0.6578013896942139,0.8745949268341064,0.7870722413063049
