device,version,seed,distribution,batch_size,learning_rate,alpha,beta,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,epochs,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-colab,197,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,128,max,[32],0.001,0,,13,valAccuracy,0.7794677019119263,0.3220177888870239,0.977506160736084,0.9102563858032227,0.5518682599067688,0.8557681441307068,0.7756654024124146,0.34753841161727905,0.9651994109153748,0.8953144550323486
redwan-colab,198,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,256,max,[32],0.001,0,,14,valAccuracy,0.7984790802001953,0.2680772542953491,0.9940126538276672,0.9643874764442444,0.5574219822883606,0.8666666746139526,0.7756654024124146,0.30019131302833557,0.9815715551376343,0.9434360265731812
redwan-colab,199,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,512,max,[32],0.001,0,,13,valAccuracy,0.7984790802001953,0.2865723669528961,0.9880465865135193,0.9482431411743164,0.5193328857421875,0.8771014213562012,0.7908745408058167,0.31241530179977417,0.9769431948661804,0.9307724833488464
redwan-colab,200,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0.001,0,,20,valAccuracy,0.802281379699707,0.20046736299991608,0.999643862247467,0.9962013363838196,0.6071034669876099,0.8623768091201782,0.7756654024124146,0.24562481045722961,0.9875378012657166,0.9717180132865906
redwan-colab,201,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,256,max,[32],0.001,0,,18,valAccuracy,0.7908745408058167,0.17732273042201996,0.9999480843544006,0.9976258277893066,0.5868406295776367,0.8680000305175781,0.7908745408058167,0.2227742224931717,0.9887151122093201,0.9746728539466858
redwan-colab,202,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,512,max,[32],0.001,0,,15,valAccuracy,0.7946767807006836,0.23214004933834076,0.9980987906455994,0.9686609506607056,0.5761808156967163,0.8733912706375122,0.7832699418067932,0.270315945148468,0.9871053695678711,0.9480793476104736
redwan-colab,203,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,128,max,[32],0.001,0,,18,valAccuracy,0.7414448857307434,0.17365401983261108,0.9999814629554749,0.9990503191947937,0.7202355861663818,0.7979710102081299,0.7376425862312317,0.23432764410972595,0.9830390810966492,0.9700295329093933
redwan-colab,204,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,256,max,[32],0.001,0,,13,valAccuracy,0.7604562640190125,0.19721587002277374,0.999988853931427,0.9981006383895874,0.6374856233596802,0.8306666612625122,0.7566539645195007,0.24610435962677002,0.9865499138832092,0.9712958931922913
redwan-colab,205,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,512,max,[32],0.001,0,,9,valAccuracy,0.7756654024124146,0.2674048840999603,0.9979708194732666,0.9852801561355591,0.5785468816757202,0.8469564914703369,0.7718631029129028,0.30194583535194397,0.9852068424224854,0.9615871906280518
redwan-colab,206,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,avg,[32],0.001,0,,0,valAccuracy,0.517110288143158,0.7031831741333008,0.525333821773529,0.5014244914054871,0.703403115272522,0.5291014313697815,0.48669201135635376,0.7032460570335388,0.5246424078941345,0.4989446997642517
