device,version,seed,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,batch_size,epochs,learning_rate,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-pc,156,0,custom,10,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,25,0.001,0.3855953514575958,0.9526810050010681,0.8927817940711975,0.5058060884475708,0.8757575750350952,0.7884615659713745,0.3881773352622986,0.9511808753013611,0.8905410766601562
redwan-pc,157,0,custom,10,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,7,0.001,0.6983802318572998,0.7448104023933411,0.5031659007072449,0.7047706246376038,0.6772726774215698,0.42307692766189575,0.6985175013542175,0.7442626953125,0.5014457106590271
redwan-pc,158,0,custom,10,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,6,0.001,0.7007387280464172,0.8388356566429138,0.5031659007072449,0.7122031450271606,0.846969723701477,0.42307692766189575,0.7009849548339844,0.8392307162284851,0.5014457106590271
redwan-pc,159,0,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,34,0.001,0.2608485817909241,0.9898467063903809,0.9607429504394531,0.43667709827423096,0.9303029775619507,0.807692289352417,0.2645500600337982,0.9893168807029724,0.957455575466156
redwan-pc,160,0,custom,12,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,35,0.001,0.2734229564666748,0.9878650903701782,0.9598987102508545,0.4397382140159607,0.9318181276321411,0.8269230723381042,0.27698102593421936,0.9872890710830688,0.9570425152778625
redwan-pc,161,0,custom,12,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,7,0.001,0.6963830590248108,0.8391226530075073,0.5031659007072449,0.7042127251625061,0.8242424726486206,0.42307692766189575,0.6965512037277222,0.8394461274147034,0.5014457106590271
redwan-pc,162,0,custom,14,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,30,0.001,0.26366594433784485,0.9950762987136841,0.9641199111938477,0.5140098929405212,0.9060605764389038,0.7692307829856873,0.26900073885917664,0.9939754605293274,0.9599339365959167
redwan-pc,163,0,custom,14,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,24,0.001,0.28503847122192383,0.9925273656845093,0.9712958931922913,0.4427095651626587,0.9166666865348816,0.8846153616905212,0.2883874177932739,0.9916841983795166,0.9694341421127319
redwan-pc,164,0,custom,14,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,0.5,64,30,0.001,0.6949084401130676,0.5506932139396667,0.5031659007072449,0.6949359178543091,0.458712100982666,0.42307692766189575,0.6949089765548706,0.5489135384559631,0.5014457106590271
