device,version,seed,n_splits,stratify,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,batch_size,epochs,learning_rate,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-pc,10,480,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.25182610750198364,0.9968166947364807,0.9491927623748779,0.61713707447052,0.8322898149490356,0.7604562640190125,0.2923963665962219,0.9816809892654419,0.9282397627830505
redwan-pc,11,70,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.2500668466091156,0.9973485469818115,0.9753086566925049,0.5941410064697266,0.8533333539962769,0.7794677019119263,0.2882581055164337,0.9836826920509338,0.9535669088363647
redwan-pc,12,4,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.22293561697006226,0.9983789920806885,0.982431173324585,0.5822392106056213,0.8554782867431641,0.7718631029129028,0.26284340023994446,0.985582709312439,0.9590544700622559
