device,version,seed,distribution,batch_size,alpha,beta,learning_rate,epochs,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy
redwan-colab,268,33,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,9,custom,12,256,max,[32],0.001,0,,valAccuracy,0.80078125,0.3216078281402588,0.9775427579879761,0.9121974110603333,0.5101466178894043,0.8889296054840088,0.79296875
redwan-colab,269,11,"[0.25, 0.25, 0.25, 0.25]",64,10,0.1,0.001,0,regular,12,256,max,[32],0.001,0,,valAccuracy,0.484375,0.7013943195343018,0.520825982093811,0.4969150424003601,0.7015424966812134,0.5130895376205444,0.484375
redwan-colab,270,17,"[0.25, 0.25, 0.25, 0.25]",64,10,0.1,0.001,21,regular,12,256,max,[32],0.001,0,,valAccuracy,0.84765625,0.20424716174602509,0.9980995059013367,0.9705742597579956,0.4822123646736145,0.9152003526687622,0.8359375
redwan-colab,271,85,"[0.25, 0.25, 0.25, 0.25]",64,10,0.1,0.001,25,custom,12,256,max,[32],0.001,0,,valAccuracy,0.83984375,0.11539303511381149,1.0,1.0,0.5506028532981873,0.9071969985961914,0.8125
