device,version,seed,distribution,batch_size,alpha,beta,learning_rate,epochs,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-pc,16,0,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,11,custom,10,128,max,[32],0.001,0,,0.37902191281318665,0.9548839926719666,0.895035445690155,0.5415085554122925,0.846716582775116,0.7765151262283325,0.39705324172973633,0.9444400072097778,0.8818831443786621
redwan-pc,17,0,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,14,custom,10,128,max,[32],0.001,0,,0.31522873044013977,0.9765817523002625,0.920265793800354,0.551842212677002,0.849706768989563,0.765625,0.34075573086738586,0.9632115364074707,0.9035124778747559
