device,version,seed,distribution,batch_size,learning_rate,alpha,beta,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,epochs,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-colab,243,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,128,max,[32],0.001,0,,12,valAccuracy,0.84375,0.22835318744182587,0.9936336278915405,0.9638687968254089,0.5003018379211426,0.8954342603683472,0.8303571343421936,0.25846531987190247,0.9835322499275208,0.949085533618927
redwan-colab,245,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,256,max,[32],0.001,0,,14,valAccuracy,0.8482142686843872,0.2026347517967224,0.9983915090560913,0.9861034154891968,0.5195241570472717,0.8975095748901367,0.8258928656578064,0.23772285878658295,0.9889851212501526,0.9683638215065002
redwan-colab,247,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,512,max,[32],0.001,0,,31,valAccuracy,0.8526785969734192,0.13042408227920532,1.0,1.0,0.5124012231826782,0.9152299165725708,0.84375,0.17271913588047028,0.9932645559310913,0.9826989769935608
redwan-colab,248,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0.001,0,,9,valAccuracy,0.8526785969734192,0.23105768859386444,0.997098445892334,0.9777654409408569,0.5112917423248291,0.8961526155471802,0.8392857313156128,0.2620870769023895,0.9870285987854004,0.9624320268630981
redwan-colab,249,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,256,max,[32],0.001,0,,9,valAccuracy,0.84375,0.21504205465316772,0.9984831809997559,0.9777654409408569,0.4949440658092499,0.9000638723373413,0.84375,0.24603447318077087,0.9897012114524841,0.9629263281822205
redwan-colab,250,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,512,max,[32],0.001,0,,20,valAccuracy,0.8526785969734192,0.14771762490272522,1.0,1.0,0.5553120970726013,0.9008620977401733,0.8482142686843872,0.19284912943840027,0.9921175241470337,0.9831932783126831
redwan-colab,251,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,128,max,[32],0.001,0,,13,valAccuracy,0.8392857313156128,0.15015533566474915,0.9999434947967529,0.9983323812484741,0.5210154056549072,0.889926552772522,0.8392857313156128,0.1912194937467575,0.9904915690422058,0.9807217121124268
redwan-colab,252,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,256,max,[32],0.001,0,,9,valAccuracy,0.84375,0.17935779690742493,0.9998520612716675,0.9927737712860107,0.4893508553504944,0.905651330947876,0.8348214030265808,0.21368232369422913,0.9919164180755615,0.975284218788147
redwan-colab,253,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,512,max,[32],0.001,0,,14,valAccuracy,0.8348214030265808,0.1418336182832718,1.0,1.0,0.5052832365036011,0.906050443649292,0.8125,0.18207725882530212,0.9930521249771118,0.979238748550415
redwan-colab,258,70,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0.001,0,,-1,valAccuracy,-inf,0.826500654220581,0.7122657299041748,0.6309060454368591,0.8300464153289795,0.6401660442352295,0.5892857313156128,0.8268933296203613,0.7030079364776611,0.6262975931167603
