device,version,seed,distribution,batch_size,alpha,beta,learning_rate,epochs,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy
redwan-colab,295,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8973214030265808,0.09665967524051666,1.0,1.0,0.32271790504455566,0.9673296213150024,0.8973214030265808
redwan-colab,297,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8973214030265808,0.09665967524051666,1.0,1.0,0.32271790504455566,0.9673296213150024,0.8973214030265808
redwan-pc,123,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-20,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8839285969734192,0.2798566222190857,0.9994277358055115,0.9199555516242981,0.47748228907585144,0.9597412347793579,0.84375
redwan-pc,124,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-20,custom,12,4,max,[32],0.001,0,,valAccuracy,0.7946428656578064,0.4685370624065399,0.8911235928535461,0.8115620017051697,0.49569401144981384,0.8647655248641968,0.78125
redwan-pc,125,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-30,regular,12,4,max,[32],0.001,0,,valAccuracy,0.7723214030265808,0.4685283601284027,0.8949077129364014,0.801556408405304,0.5159330368041992,0.8484703898429871,0.7723214030265808
redwan-pc,126,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-30,regular,12,4,max,[],0.001,0,,valAccuracy,0.7991071343421936,0.47331055998802185,0.9016552567481995,0.8193441033363342,0.49086451530456543,0.881619930267334,0.7991071343421936
redwan-pc,127,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,regular,12,4,max,[],0.001,0,,valAccuracy,0.8080357313156128,0.40100258588790894,0.9188042283058167,0.8393551707267761,0.42847126722335815,0.8963176012039185,0.8035714030265808
redwan-pc,128,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,regular,12,8,max,[],0.001,0,,valAccuracy,0.8348214030265808,0.3438134491443634,0.947163462638855,0.864924967288971,0.42357316613197327,0.8939212560653687,0.8169642686843872
redwan-pc,129,91,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,regular,12,8,max,[8],0.001,0,,valAccuracy,0.8169642686843872,0.3765994608402252,0.9573445916175842,0.8315730690956116,0.464632511138916,0.9046249389648438,0.8080357313156128
