device,version,seed,distribution,batch_size,alpha,beta,learning_rate,epochs,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy
redwan-pc,100,63,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-20,custom,12,256,max,[32],0.001,0,,valAccuracy,-inf,0.22364327311515808,0.9957870244979858,0.9748337864875793,0.4344731867313385,0.9311022758483887,0.8631178736686707
redwan-colab,267,47,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,11,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8441064357757568,0.2649039030075073,0.9870666861534119,0.9449192881584167,0.4146462678909302,0.9297127723693848,0.8326995968818665
redwan-colab,272,63,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,19,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8593155741691589,0.14812414348125458,0.9999703168869019,0.9985755085945129,0.4613874852657318,0.9313918352127075,0.8479087352752686
redwan-colab,273,50,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-20,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8479087352752686,0.21218590438365936,0.9970306754112244,0.9776828289031982,0.41368189454078674,0.9361973404884338,0.8479087352752686
redwan-colab,274,20,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-19,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8479087352752686,0.2554958462715149,0.9899606704711914,0.9553655982017517,0.41794970631599426,0.9297707080841064,0.8479087352752686
redwan-colab,275,38,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-21,custom,12,256,max,[32],0.001,0,,valAccuracy,-inf,0.7152799367904663,0.8517065048217773,0.5807217359542847,0.7142704129219055,0.8138027191162109,0.6007604598999023
redwan-colab,276,63,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-20,custom,12,256,max,[32],0.001,0,,valAccuracy,0.8593155741691589,0.22256849706172943,0.9950596690177917,0.9715099930763245,0.429516077041626,0.928207516670227,0.8593155741691589
