version,seed,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,batch_size,epochs,learning_rate,n_splits,stratify,trainLoss,trainAUROC,trainAccuracy,trainF1,valLoss,valAUROC,valAccuracy,valF1
7,686,custom,10,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.3207622438669205,0.9767158925533295,0.9145443499088287,0.9142394483089447,0.5394248545169831,0.8626165330410004,0.7819151103496551,0.7807515025138855
8,686,custom,10,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.29361907541751864,0.9866654694080352,0.9393730461597443,0.9392750799655915,0.5294455260038375,0.8698379456996918,0.776531308889389,0.7761158645153046
9,686,custom,10,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.3099102735519409,0.9812497019767761,0.9315249741077423,0.931395971775055,0.52037672996521,0.8753421187400818,0.7992619693279266,0.7988895118236542
10,686,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.2656381905078888,0.9938890695571899,0.9537381231784821,0.9536460220813752,0.5637829303741455,0.8523143708705903,0.762095707654953,0.7602127075195313
11,686,custom,12,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.25443962812423704,0.9950331568717956,0.9652119636535644,0.9651677131652832,0.5372835606336593,0.8680437326431274,0.7848110735416413,0.784270066022873
12,686,custom,12,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.2702558353543282,0.9912451207637787,0.9537381649017334,0.9536414921283722,0.5305575132369995,0.8729662954807281,0.7893446207046508,0.7888282895088196
13,686,custom,14,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.23914075493812562,0.9970313668251037,0.9744832396507264,0.974442583322525,0.5681917846202851,0.8504299759864807,0.7620888948440552,0.7611870527267456
14,686,custom,14,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.21561091393232346,0.999018269777298,0.9887101829051972,0.9886954247951507,0.5577242493629455,0.8666190266609192,0.7707631886005402,0.7695144712924957
15,686,custom,14,512,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,10,True,0.20123433023691178,0.9992352843284606,0.9917851328849793,0.9917780458927155,0.54639473259449,0.8687730550765991,0.7798404932022095,0.7793803572654724
