version,seed,n_splits,stratify,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,batch_size,epochs,learning_rate,trainLoss,trainAUROC,trainAccuracy,trainF1,valLoss,valAUROC,valAccuracy,valF1
1,540,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,30,0.001,0.15991683155298234,0.9998834013938904,0.996741509437561,0.9967384159564971,0.5669037461280823,0.8683984696865081,0.7802605211734772,0.7800062477588654
3,410,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,50,0.001,0.1257832631468773,1.0,1.0,1.0,0.7144232571125031,0.8469820499420166,0.7624970257282258,0.7623822271823884
3,410,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,14,0.001,0.3939871102571487,0.9614594340324402,0.8873747408390045,0.8869470179080963,0.5526304244995117,0.838775908946991,0.756305480003357,0.7549880027770997
4,410,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,15,0.001,0.3714456111192703,0.9681458115577698,0.9016938984394074,0.9014104962348938,0.5508382380008697,0.8420183539390564,0.7612641513347626,0.7604245126247406
