version,seed,n_splits,stratify,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,batch_size,epochs,learning_rate,trainLoss,trainAUROC,trainAccuracy,trainF1,valLoss,valAUROC,valAccuracy,valF1
0,445,2,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,1,0.001,0.8286847174167633,0.700525164604187,0.5775075852870941,0.5118642598390579,0.8308362066745758,0.6228189170360565,0.5520516633987427,0.4779505878686905
2,854,2,True,regular,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,1,0.001,0.8350400626659393,0.6847172677516937,0.5,0.3331972509622574,0.8366323113441467,0.6083916425704956,0.5,0.3331969380378723
3,264,2,True,regular,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,1,0.001,0.8288047313690186,0.6407937407493591,0.5034194588661194,0.3406740427017212,0.8295249044895172,0.5709649622440338,0.5007598698139191,0.33687523007392883
4,724,2,True,regular,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,1,0.001,0.8319562077522278,0.6260700225830078,0.5395136773586273,0.45611386001110077,0.8322799205780029,0.5836643576622009,0.5235562324523926,0.439447820186615
5,724,2,True,regular,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,1,0.001,0.8319562077522278,0.6260700225830078,0.5395136773586273,0.45611386001110077,0.8322799205780029,0.5836643576622009,0.5235562324523926,0.439447820186615
6,724,2,True,regular,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,1,0.001,0.8319562077522278,0.6260700225830078,0.5395136773586273,0.45611386001110077,0.8322799205780029,0.5836643576622009,0.5235562324523926,0.439447820186615
7,724,2,True,regular,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,1,0.001,0.8319562077522278,0.6260700225830078,0.5395136773586273,0.45611386001110077,0.8322799205780029,0.5836643576622009,0.5235562324523926,0.439447820186615
9,724,2,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,1,0.001,0.8294994831085205,0.6056207418441772,0.5695288777351379,0.5501269400119781,0.8300219178199768,0.5740459263324738,0.5524316132068634,0.5345547199249268
