version,seed,n_splits,stratify,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,batch_size,epochs,learning_rate,trainLoss,trainAUROC,trainAccuracy,trainF1,valLoss,valAUROC,valAccuracy,valF1
1,432,2,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,30,0.001,0.1681610718369484,1.0,1.0,1.0,0.6327959597110748,0.8312095105648041,0.7571268379688263,0.7559734582901001
2,434,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,30,0.001,0.1771892637014389,0.9999817073345184,0.997751122713089,0.9977479994297027,0.656604528427124,0.8431190371513366,0.7554807305335999,0.7549074351787567
3,432,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,30,0.001,0.17297410666942598,0.9999050259590149,0.995089077949524,0.9950825214385987,0.599565201997757,0.8588209867477417,0.7732374250888825,0.7727158844470978
4,432,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[16],0.001,0,64,30,0.001,0.1727241352200508,0.9995504379272461,0.989993941783905,0.9899804949760437,0.6078909695148468,0.8543091118335724,0.7620855033397674,0.761274540424347
5,398,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[16],0,0.001,64,30,0.001,0.09066725745797158,0.9997298240661621,0.9932071089744567,0.9932005524635314,0.5293797075748443,0.8542503654956818,0.7678587138652802,0.7672056138515473
6,398,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0,0.001,64,30,0.001,0.04855823516845703,0.9999978482723236,0.9994951069355011,0.9994946122169495,0.5843654155731202,0.8540467619895935,0.7753052353858948,0.7741793632507324
