version,seed,n_splits,stratify,convolution_type,kernel_size,kernel_count,alpha,beta,distribution,linear_layer_shapes,l1_lambda,l2_lambda,batch_size,epochs,learning_rate,trainLoss,trainAUROC,trainAccuracy,trainF1,valLoss,valAUROC,valAccuracy,valF1
6,724,10,True,custom,12,128,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.31955509781837466,0.9741117000579834,0.9175989210605622,0.9175644814968109,0.5265085846185684,0.8613875389099122,0.7830467283725738,0.7828565657138824
7,724,10,True,custom,10,256,10,0.1,"[0.3, 0.2, 0.2, 0.3]",[32],0.001,0,64,20,0.001,0.30718523561954497,0.9817295491695404,0.9294194221496582,0.9293336033821106,0.5307816565036774,0.8732666909694672,0.7860971868038178,0.7854917109012604
