device,version,seed,distribution,batch_size,alpha,beta,learning_rate,epochs,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy
tushar-colab,201,3,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,20,custom,12,128,max,[32],0.0021,0,,valAccuracy,0.8777777552604675,0.20984315872192383,0.9991442561149597,0.9888970851898193,0.4252297282218933,0.9445257186889648,0.8688889145851135
tushar-colab,202,60,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,15,custom,12,256,max,[32],0.0021,0,,valAccuracy,0.8622221946716309,0.24572835862636566,0.9964876174926758,0.9666913151741028,0.45747074484825134,0.9394071102142334,0.846666693687439
tushar-colab,204,50,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-50,custom,12,256,max,[8],0.0021,0,,valAccuracy,0.8733333349227905,0.12859591841697693,1.0,1.0,0.46916162967681885,0.9427075386047363,0.855555534362793
tushar-colab,205,50,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-13,custom,12,256,max,[8],0.0021,0,,valAccuracy,-inf,0.3899483382701874,0.9486756920814514,0.8800888061523438,0.44279903173446655,0.916679859161377,0.8333333134651184
tushar-colab,206,50,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-14,custom,12,256,max,[8],0.0021,0,,valAccuracy,-inf,0.37668290734291077,0.9546843767166138,0.8749074935913086,0.43354499340057373,0.9185376167297363,0.8577777743339539
tushar-colab,207,50,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-14,custom,12,256,max,[32],0.0021,0,,valAccuracy,-inf,0.3538423180580139,0.9677978157997131,0.9059955477714539,0.44599366188049316,0.9235968589782715,0.8399999737739563
tushar-colab,208,50,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,-14,custom,12,256,max,[32],0.0021,0,,valAccuracy,-inf,0.3538423180580139,0.9677978157997131,0.9059955477714539,0.44599366188049316,0.9235968589782715,0.8399999737739563
tushar-colab,209,50,"[0.3, 0.2, 0.2, 0.3]",64,10,0.1,0.001,35,custom,12,256,max,[32],0.0021,0,,valAccuracy,0.8911111354827881,0.1460629403591156,1.0,1.0,0.42849934101104736,0.9459683895111084,0.8822222352027893
